Name used,Year,Latitude,Longitude,Catalog No.,Information
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1972,21.98,120.71,1271,"HUNG-CHAI-KENG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1979,21.98,120.71,56415,"Hongchai, Pingtung "
,,,,,Portal: GBIF. Source: ASIZ
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,21.98,120.71,NTUM01271,"HUNG-CHAI-KENG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTUM01271
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,21.98,120.71,NTUM01277,"HUNG-CHAI-KENG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTUM01277
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,21.98,120.71,NTUM01270,"HUNG-CHAI-KENG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTUM01270
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,21.98,120.71,NTUM01273,"HUNG-CHAI-KENG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTUM01273
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,21.98,120.71,ASIZP0056415,"Hongchai, Pingtung "
,,,,,Portal: GBIF. Source: ASIZP0056415
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1972,22.03,120.72,1274,"WAN-LI-TUNG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,22.03,120.72,NTUM01274,"WAN-LI-TUNG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTUM01274
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1973,21.94,120.73,8530,"HOU-PI-HU, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1972,21.94,120.73,1275,"HOU-PI-HU, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,21.94,120.73,NTUM01275,"HOU-PI-HU, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTUM01275
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,21.94,120.73,NTUM08530,"HOU-PI-HU, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTUM08530
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1976,22.01,120.74,8504,"Hengchun, Pingtung "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1976,22.01,120.74,8502,"Hengchun, Pingtung "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1976,22.01,120.74,8500,"Hengchun, Pingtung "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,22.01,120.74,NTUM08502,"Hengchun, Pingtung "
,,,,,Portal: GBIF. Source: NTUM08502
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,22.01,120.74,NTUM08504,"Hengchun, Pingtung "
,,,,,Portal: GBIF. Source: NTUM08504
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,22.01,120.74,NTUM08500,"Hengchun, Pingtung "
,,,,,Portal: GBIF. Source: NTUM08500
,,,,,Data from GBIF data index - original values.
"Last modified by Casey, 09.06.15",,,,,
