"species","year","latitude","longitude"
"Paracanthurus hepatus",1967,-9.4,46.21
"Paracanthurus hepatus",NA,-9.83,47
"Paracanthurus hepatus",NA,-9.83,47
"Paracanthurus hepatus",NA,-20.62,55.23
"Paracanthurus hepatus",1954,-4.62,55.45
"Paracanthurus hepatus",1954,-4.62,55.45
"Paracanthurus hepatus",NA,-4.62,55.45
"Paracanthurus hepatus",NA,-4.62,55.45
"Paracanthurus hepatus",NA,-4.62,55.45
"Paracanthurus hepatus",NA,-4.62,55.45
"Paracanthurus hepatus",NA,-21.12,55.58
"Paracanthurus hepatus",NA,-21.12,55.58
"Paracanthurus hepatus",NA,-20.33,57.58
"Paracanthurus hepatus",NA,-20.33,57.58
"Paracanthurus hepatus",1971,-20.3,57.58
"Paracanthurus hepatus",1976,-20.3,57.58
"Paracanthurus hepatus",NA,-20.3,57.58
"Paracanthurus hepatus",NA,-20.3,57.58
"Paracanthurus hepatus",NA,-20.33,57.58
"Paracanthurus hepatus",NA,-20.33,57.58
"Paracanthurus hepatus",NA,-20.3,57.58
"Paracanthurus hepatus",NA,-20.3,57.58
"Paracanthurus hepatus",1958,3.25,73
"Paracanthurus hepatus",1958,3.25,73
"Paracanthurus hepatus",NA,8.57,81.23
"Paracanthurus hepatus",NA,10,93
"Paracanthurus hepatus",1958,8,93.5
"Paracanthurus hepatus",1988,4.64,119.45
"Paracanthurus hepatus",NA,16.43,119.92
"Paracanthurus hepatus",NA,22.48,120.46
"Paracanthurus hepatus",1972,21.98,120.71
"Paracanthurus hepatus",1972,21.98,120.71
"Paracanthurus hepatus",1972,21.98,120.71
"Paracanthurus hepatus",1972,21.98,120.71
"Paracanthurus hepatus",1979,21.98,120.71
"Paracanthurus hepatus",NA,21.98,120.71
"Paracanthurus hepatus",NA,21.98,120.71
"Paracanthurus hepatus",NA,21.98,120.71
"Paracanthurus hepatus",NA,21.98,120.71
"Paracanthurus hepatus",NA,21.98,120.71
"Paracanthurus hepatus",1972,22.03,120.72
"Paracanthurus hepatus",NA,22.03,120.72
"Paracanthurus hepatus",1973,21.94,120.73
"Paracanthurus hepatus",1972,21.94,120.73
"Paracanthurus hepatus",NA,21.94,120.73
"Paracanthurus hepatus",NA,21.94,120.73
"Paracanthurus hepatus",1976,22.01,120.74
"Paracanthurus hepatus",1976,22.01,120.74
"Paracanthurus hepatus",1976,22.01,120.74
"Paracanthurus hepatus",NA,22.01,120.74
"Paracanthurus hepatus",NA,22.01,120.74
"Paracanthurus hepatus",NA,22.01,120.74
